Installation,Prioritization,Category,Common Name,Scientific Name,Status,Onsite/ Contiguous (Adjacent),Dispersal mode,Disperal range (max) km,Dispersal range (average) km,Primary habitat (NLCD cat),Secondary habitat (NLCD cat),Microhabitat,NWI category,Critical Habitat (y/n),Residency,# extant pops (# occurrences),# pops good viability,Resident status,Recovery Plan (y/n),"RP calls for new pops (translocation, reintroduction etc) (y/n)","HCP, CCA, CCAA, CP (#)",Comments
Camp Grafton,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
Camp Gruber,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
Camp Ripley,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
CTC Camp Dawson-Kingwood,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
CTC Fort Custer Trng Center,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
FORT A P HILL,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,ONSITE,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
FORT BELVOIR,,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,ONSITE,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
FORT BENNING,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
FORT BRAGG,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
FORT CAMPBELL,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
FORT DETRICK,,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
FORT DIX,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
FORT DRUM,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
FORT EUSTIS,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
FORT GEORGE G MEADE,,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
FORT GORDON,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
Fort Indiantown Gap,,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
FORT JACKSON,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
FORT KNOX,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,ONSITE,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
FORT LEAVENWORTH,,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
FORT LEE,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
FORT LEONARD WOOD,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,ONSITE,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
Fort McClellan ARNG Training Center,,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
FORT MCCOY,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,ONSITE,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
"Fort Pickett, ARNG MTC",1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
FORT POLK,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
FORT RILEY,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
Marseilles (MTA Training Area),1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,ONSITE,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
MILITARY OCEAN TERMINAL SUNNY POINT,,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
MTA Camp Edwards,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
MTC-H Camp Grayling,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,ONSITE,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
NG TS Ethan Allen Range,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
Ravenna Training and Log Site,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
VTS Catoosa,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,ONSITE,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
VTS Tullahoma,,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,ONSITE,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
Warren Grove Range,,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,?,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
WEST POINT MILITARY RESERVATION,1,Mammal,Northern long-eared bat,Myotis septentrionalis,THREATENED,ONSITE,Flight,100,100,"Deciduous forest, Evergreen forest, Mixed forest, Woody Wetlands",,,,N,"Resident, Local Migrant",?,?,"Resident, Local Migrant",N,na,3,one could make a claim that this spp occupies all forested NLCD types
MTA Camp Shelby,1,Reptile,Black Pinesnake,Pituophis melanoleucus lodingi,THREATENED,onsite,terrestrial,2,0.338,Evergreen Forest,Mixed Forest,stump holes,,N,Resident,11,8,Resident,N,na,0,
MTA Camp Shelby,1,Fish,Pearl darter,Percina aurora,THREATENED,contiguous,water,10,10,open water,,,"R2UB,R3RB",N,Resident,4,?,Resident,N,na,0,"Dispersal estimate based on separation distance. Only in Pascagoula drainage; Leaf River and Black Creek just to E and W, respectively. occurs in lowgradient,
coastal plain rivers and creeks (Suttkus et al. 1994, p. 13), predominately classified as 4th to 2nd order streams (Strahler stream order hierarchy). There have been no comprehensive microhabitat studies on the pearl darter; however, based on observations of occupancy in the field, microhabitat features consist of a bottom substrate mixture of sand, silt, loose clay, gravel, organic material, and snags.  Little aquatic vegetation"
Fort McCoy,1,insect,rusty patched bumble bee,Bombus affinis ,ENDANGERED,onsite,flight,10,1,Grassland/Herbaceous,,tall grass prairie,NA,n,resident,25,?,resident,n,na,0,number of occurrences is not known. Reports in the past decade have revealed approximately 25 potential populations
Marseilles Training Center,1,insect,rusty patched bumble bee,Bombus affinis ,ENDANGERED,contiguous,flight,10,1,Grassland/Herbaceous,,tall grass prairie,NA,n,resident,25,?,resident,n,na,0,number of occurrences is not known. Reports in the past decade have revealed approximately 25 potential populations
FORT DETRICK,,mussel,yellow lance,Eliptio lanceolata,THREATENED,?,animals; water,10,2,Open Water,,Sandy riverbottoms,R2UB2,n,resident,15,?,resident,y,y,0,"recovery plan is only an outline and species was listed in 2018; I cannot confirm presence on Ft Derrick, MD"
FORT GEORGE G MEADE,,mussel,yellow lance,Eliptio lanceolata,THREATENED,?,animals; water,10,2,Open Water,,Sandy riverbottoms,R2UB2,n,resident,15,?,resident,y,y,0,recovery plan is only an outline and species was listed in 2018; I cannot confirm presence on Ft Meade
"Fort Pickett, ARNG MTC",1,mussel,yellow lance,Eliptio lanceolata,THREATENED,ONSITE,animals; water,10,2,Open Water,,Sandy riverbottoms,R2UB2,n,resident,15,?,resident,y,y,0,recovery plan is only an outline and species was listed in 2018
Camp Minden TS,,Reptile,Louisiana pinesnake,Pituophis ruthveni,THREATENED,contiguous,terrestrial,2,0.163,Evergreen Forest,,gopher burrows,,N,Resident,6,?,Resident,draft,Y,1,"no max dispersal information available, so used black pinesnake estimate"
FORT POLK,1,Reptile,Louisiana pinesnake,Pituophis ruthveni,THREATENED,onsite,terrestrial,2,0.163,Evergreen Forest,,gopher burrows,,N,Resident,6,?,Resident,draft,Y,1,"no max dispersal information available, so used black pinesnake estimate"
NG Beauregard Training Range,,Reptile,Louisiana pinesnake,Pituophis ruthveni,THREATENED,contiguous,terrestrial,2,0.163,Evergreen Forest,,gopher burrows,,N,Resident,6,?,Resident,draft,Y,1,"no max dispersal information available, so used black pinesnake estimate"
